Link Text,URL
Send Message,/Message.aspx?D=1154
View Profile,http://lahore.comsats.edu.pk/employees/1154
Ms. Samia Arshad,http://lahore.comsats.edu.pk/employees/1012
Send Message,/Message.aspx?D=1012
View Profile,http://lahore.comsats.edu.pk/employees/1012
Ms. Sana Maqbool,http://lahore.comsats.edu.pk/employees/1269
Send Message,/Message.aspx?D=1269
View Profile,http://lahore.comsats.edu.pk/employees/1269
Mr. Shahrukh Naeem,http://lahore.comsats.edu.pk/employees/1352
Send Message,/Message.aspx?D=1352
View Profile,http://lahore.comsats.edu.pk/employees/1352
Mr. Shuja Akbar,http://lahore.comsats.edu.pk/employees/1031
Send Message,/Message.aspx?D=1031
View Profile,http://lahore.comsats.edu.pk/employees/1031
Ms. Sidra Nasir,http://lahore.comsats.edu.pk/employees/1360
Send Message,/Message.aspx?D=1360
View Profile,http://lahore.comsats.edu.pk/employees/1360
Ms. Sunbal Siddique,http://lahore.comsats.edu.pk/employees/1359
Send Message,/Message.aspx?D=1359
View Profile,http://lahore.comsats.edu.pk/employees/1359
Mr. Tahir Muhammad,http://lahore.comsats.edu.pk/employees/1257
Send Message,/Message.aspx?D=1257
View Profile,http://lahore.comsats.edu.pk/employees/1257
Ms. Yella Mehroze,http://lahore.comsats.edu.pk/employees/1272
Send Message,/Message.aspx?D=1272
View Profile,http://lahore.comsats.edu.pk/employees/1272
Mr. Zaheer Ahmad Gondal,http://lahore.comsats.edu.pk/employees/1211
Send Message,/Message.aspx?D=1211
View Profile,http://lahore.comsats.edu.pk/employees/1211
Ms. Zeenat Afzal,http://lahore.comsats.edu.pk/employees/1254
Send Message,/Message.aspx?D=1254
View Profile,http://lahore.comsats.edu.pk/employees/1254
Mr. Faisal Mumtaz,http://lahore.comsats.edu.pk/employees/995
Send Message,/Message.aspx?D=995
View Profile,http://lahore.comsats.edu.pk/employees/995
Dr. Usama Ijaz Bajwa,http://lahore.comsats.edu.pk/employees/1000
Send Message,/Message.aspx?D=1000
View Profile,http://lahore.comsats.edu.pk/employees/1000
Dr. Allah Bux Sargano,http://lahore.comsats.edu.pk/employees/912
Send Message,/Message.aspx?D=912
View Profile,http://lahore.comsats.edu.pk/employees/912
Mr. Hafiz Muhammad Tahir,http://lahore.comsats.edu.pk/employees/1264
Send Message,/Message.aspx?D=1264
View Profile,http://lahore.comsats.edu.pk/employees/1264
Mr. Muhammad Nasir,http://lahore.comsats.edu.pk/employees/1252
Send Message,/Message.aspx?D=1252
View Profile,http://lahore.comsats.edu.pk/employees/1252
Ms. Saadia Bano,http://lahore.comsats.edu.pk/employees/1308
Send Message,/Message.aspx?D=1308
View Profile,http://lahore.comsats.edu.pk/employees/1308
First Position in Query Master Competition at SOFTECH’24,20240723news.aspx
First Position in Information Technology Symposium (iTS’24) by Cogent Labs,20240722-news.aspx
Muslim on a Mission - Seminar,20240711-news.aspx
FYP Talent Hunt,20240710-news.aspx
Join our dynamic team at the Department of Computer Science!,20240404-news.aspx
"Newspaper Coverage of Industry Leaders for Software Development Collaboration with CUI, Lahore Campus",downloads/Newspapercoverage.pdf
Explore Nawaiwaqt News,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2023-11-03/page-4/detail-0
Convocation Fall 2023,20231121-news.aspx
TechFusion Week FA'23,20231120-news.aspx
"NCEAC Zero Visit of BS Cyber Security, Computer Science Department",20231108-news.aspx
Industry Leaders Converge at COMSATS University Lahore Campus to Foster Software Development Collaboration,20231021-news.aspx
3rd Position in AIEF 1st National AI Competition at LUMS,20230821-news.aspx
Five Chief Executive Offers from international Software Companies Visited The Department of CS,20230808-news.aspx
Won Coding Competition CODINGURU 5.0,20230126-news.aspx
Approval of MS Cyber Security Program,20230112-news.aspx
Download NOC of MS Cyber Security Program,downloads/noc-ms-CyberSecurity.pdf
archived news,ArchivedNews.aspx
CUI CS/SE Community at Facebook,https://www.facebook.com/groups/cs.department.community.cui
NCEAC Accreditation of Computer Science Programs,https://nceac.org.pk/Accreditation/AccreditedInstitutions
E-Brochure,Files/E-Brochure-20190531.pdf
Archived Newsletters,Newsletters.aspx
Testimonials,Testimonials.aspx
FYP Website,https://lahore.comsats.edu.pk/cs/fyp/
PhD Graduates,Phd-students.aspx
CUI Main,https://www.comsats.edu.pk
CUI Lahore,http://lahore.comsats.edu.pk/
International Students,http://ww3.comsats.edu.pk/internationalstudents
Alumni,http://ww3.comsats.edu.pk/alumnilahore/
Photo gallery,http://lahore.comsats.edu.pk/Gallery.aspx
Scholarships,http://lahore.comsats.edu.pk/Admissions/scholarships_financial_aid.aspx
About Us,AboutUs.aspx
Programs,Programs.aspx
Research,ResearchPublications.aspx
Faculty,Faculty.aspx
Resources,academic_resources.aspx
Contact us,contactus.aspx
ITCentre CUI Islamabad.,http://ww3.comsats.edu.pk/itcenter
,https://www.facebook.com/cuilahore
,https://twitter.com/CUIofficial
,#
